year,country_residence_iso3,n_billionaires,total_wealth,median_wealth,median_age,share_self_made
2007,MYS,7,18600000000,2600000000,68,NA
2007,NLD,3,7300000000,2200000000,65,NA
2007,NOR,4,10400000000,2500000000,63,NA
2007,NZL,2,4700000000,2350000000,49,NA
2007,PHL,3,7500000000,2600000000,72,0
2007,POL,3,5800000000,2000000000,45,NA
2007,PRT,1,2300000000,2300000000,69,NA
2007,ROU,1,1100000000,1100000000,67,1
2007,RUS,44,246100000000,4450000000,44,0
2007,SAU,9,48200000000,2600000000,48,NA
2007,SGP,4,9800000000,1850000000,52.5,0
2007,SWE,5,31900000000,3000000000,59,NA
2007,THA,2,5800000000,2900000000,64.5,NA
2007,TUR,18,28000000000,1350000000,62,NA
2007,TWN,6,20100000000,2550000000,56.5,NA
2007,UKR,5,10200000000,1200000000,40,NA
2007,USA,317,1151600000000,2000000000,64,0.0707070707070707
2007,VEN,2,12000000000,6000000000,51,NA
2007,ZAF,2,9300000000,4650000000,58.5,NA
2007,NA,17,66600000000,3200000000,75,0.0625
2008,ARE,5,11600000000,2500000000,0,1
2008,ARG,1,2100000000,2100000000,73,NA
2008,AUS,12,38600000000,2200000000,67,0
2008,AUT,3,12600000000,4000000000,67,NA
2008,BEL,1,3200000000,3200000000,82,NA
2008,BHS,1,3000000000,3000000000,71,NA
2008,BRA,15,58000000000,2500000000,62,NA
2008,CAN,18,72600000000,2850000000,66.5,0
2008,CHE,19,115700000000,3600000000,61.5,1
2008,CHL,3,19200000000,7900000000,58,NA
2008,CHN,40,80700000000,1600000000,48,0.75
2008,COL,1,5500000000,5500000000,75,NA
2008,CYM,1,3300000000,3300000000,61,NA
2008,CYP,1,1200000000,1200000000,56,NA
2008,CZE,1,9300000000,9300000000,43,NA
2008,DEU,36,176800000000,3000000000,62.5,NA
2008,DNK,1,6500000000,6500000000,60,NA
2008,EGY,4,35700000000,10050000000,52,0
2008,ESP,12,48300000000,2800000000,61.5,0
2008,FRA,11,95400000000,4500000000,70,NA
